id	label	premise	hipothesis
121	4.7	A girl in uniform is playing the flute with a marching band	A girl in uniform is playing the flute with a band
122	4.3	A man in a suit is standing in front of a microphone and singing	The man on stage is singing into the microphone
123	4.8	A man is outside and is throwing blades at a nearby target.	A man is outside and is throwing blades at a nearby target
124	4.6	A man is washing a big steak	A man is washing a large piece of meat.
125	4.8	A woman is pouring eggs into a frying pan.	A woman is pouring eggs into a pan
126	4.8	A girl is riding a horse	A horse is being ridden by a girl
127	4.8	People are rowing and rowing	Some people are sailing and rowing
128	4.1	Some women are dancing happily	Some women are dancing.
129	5.0	The woman is dicing onions	The lady is dicing onions
130	4.2	The man is singing with emotion and playing the guitar	A man is playing the guitar
131	5.0	A woman is showing a very longhaired dog in a dog show	A very long-haired dog is being displayed by a woman at a dog show
132	4.5	A woman is frying food	Some foods are being fried by a woman
133	4.9	A wee girl is driving a toy car	The little girl is driving the toy car
134	4.4	A man is folding a tortilla	A tortilla is being folded by one person
135	5.0	The cat is playing with a watermelon	This cat is playing with a watermelon
136	4.7	Three women are sitting together near fabric walls	Some women are sitting together near fabric walls.
137	4.7	A cowgirl is riding a brown horse and is turning around in a barrel	A cowgirl is riding a horse and surrounding a barrel
138	4.3	Men are sawing logs	Men are sawing
139	4.1	An image is being drawn by a man	The person is drawing
140	4.8	A boy is playing a game with blocks made of wood	A boy is playing a game with wooden blocks.
141	4.065	A man is reading the email	Someone is checking the email
142	4.4	The man surrounded by photographers is wearing a gray suit and glasses.	The man surrounded by men with a camera is wearing a gray suit and glasses.
143	4.5	A girl in a blue uniform is quickly raising her arm	A girl in blue uniform is raising her arm
144	4.4	Someone is standing in a vast glacial ice field	The person is standing on the white ice
145	4.5	A clown is singing and people are dancing	A song is being played by a clown
146	4.6	A man snowboarding is jumping through the air	A snowboarder is jumping through the air.
147	4.8	The potato is being peeled by the lady	A woman is peeling a potato
148	4.5	Some fish are swimming fast	Some fish are swimming.
149	4.7	The woman is slicing garlic	The woman is chopping garlic
150	4.9	A man is wearing a red jacket and standing next to a red canoe on some rocks with water in the background.	A man is wearing a red jacket and standing next to a yellow canoe over boulders with water in the background.
151	4.6	A boy is wearing a yellow jacket and is jumping off a rock	A child is wearing a yellow jacket and is jumping off a rock
152	4.0	Snowboarder is jumping over from white snow.	A person who is snowboarding is jumping in the air.
153	4.6	A man with a hat behind is sitting on the floor	A person with a hat behind is sitting on the floor
154	4.1	A baby rhino is walking around a cage with its mother	A baby rhino is following an adult rhino
155	4.5	A hare is playing with a stuffed rabbit	A rabbit is playing with a stuffed rabbit
156	4.9	A boy is checking a calendar	The boy is checking a calendar
157	4.5	A man is dancing on the ceiling.	A person is dancing on the ceiling.
158	4.5	A small child is splashing water inside a blue kiddie pool	The child is splashing water in a tiny blue pool
159	4.3	Runners are racing fiercely around the track	Runners are competing in a race.
160	4.8	The dog is being taken for a walk by the woman	The woman is walking the dog
161	4.2	A woman is putting two eggs into a pan of water	A woman is boiling eggs
162	3.8	The man is absently eating a banana near a tree	A man is eating a banana.
163	4.4	An old woman is shaking hands with a man	A man and a woman are shaking hands.
164	5.0	An animal is biting a person&#39;s finger	An animal is biting someone&#39;s finger
165	4.9	A dog is chasing a ball in the grass	The dog is chasing a ball in the grass
166	4.8	Two men and a girl in front of a wooden wall are making funny faces	Two men and a girl in front of a wooden wall are posing with funny faces
167	4.6	A man is buttering a slice of bread	A man is buttering a loaf of bread
168	4.4	A girl is playing a flute	A girl is playing a wind instrument
169	4.8	An individual is boiling okra in a pan	Someone is boiling okra in a pan
170	4.7	The man is sprinkling cheese on pizza	Cheese is being put on a pizza by a man
171	4.8	Someone is playing the guitar	Someone is playing the guitar
172	4.3	A woman is breading a pork chop	A cook is covering a pork chop
173	4.5	The man is awkwardly practicing kickboxing with a coach	The man is practicing kickboxing with a coach
174	4.6	A small boy in red-dyed clothes is jumping in the air	A small boy in red clothes is jumping in the air
175	4.6	A woman is tapping her fingers nervously.	A woman is tapping her fingers
176	4.9	A man&#39;s face is being painted by a woman	A woman is painting a man&#39;s face
177	4.915	A man is crouching in the bush and taking a photograph	A man is crouching in the bush and is taking a picture
178	4.9	A woman is cutting potatoes	A woman is cutting the potatoes
179	5.0	An individual is folding a piece of paper.	Someone is folding a piece of paper.
180	4.4	A young boy is singing and playing the guitar	The guitar is being played by a child
181	4.9	Eggs are being boiled by the woman	A woman is boiling eggs
182	4.5	The woman is applying makeup on the man	A man&#39;s face is being painted by a woman
183	4.5	The man is cautiously operating a shorthand machine	The man is operating a shorthand machine
184	4.9	The man is standing in the water at the base of the waterfall	A man is standing in the water at the base of a waterfall
185	4.7	A man is mowing grass	A guy is mowing the lawn
186	4.0	The man in the suit is standing facing a microphone and singing	The man on stage is singing into the microphone
187	5.0	Two kids are crouching under some metal bars	Two kids are crouching under some metal bars
188	4.9	Cowboy in blue and red pants is being hurled by a horse	A horse is flinging the cowboy wearing blue and red pants
189	4.8	A black dog is running on the grass and its tongue is sticking out of its mouth	A black-haired dog is running on the grass and its tongue is sticking out of its mouth
190	4.2	A man is playing the keyboard	A musician is playing a keyboard
191	4.4	An old woman is sitting on a bench and is wearing a gray jacket and black pants	The woman is sitting on a bench and is wearing a gray jacket and black pants
192	4.8	A person is cutting mushrooms with a knife.	A person is cutting some mushrooms
193	5.0	The black bird with a yellow beak is standing on the green grass	A black bird with a yellow beak is standing in the green grass
194	4.4	A man is slicing bread	A person is slicing a loaf of bread
195	4.5	The children in one family are playing patiently and waiting	The children of the family are playing and waiting
196	4.9	A person is peeling a banana	A banana is being peeled by one person
197	4.8	Two men are fighting	Two men are struggling
198	4.8	A little black dog is chasing a little brown dog	A dog, which is small and black, is chasing a small brown dog
199	5.0	A woman is riding on a watercraft	A watercraft is being ridden by a woman
200	4.8	The boy is checking a calendar	A boy is looking at a calendar
201	4.9	A child is splashing water in a paddling pool and other boys are playing in the background.	A child is splashing water in a paddling pool and other boys are playing in the background.
202	4.9	A woman is being carried by a man	A man is carrying a woman
203	4.4	A man is sharpening a knife	A man is sharpening a gun
204	4.8	The man in the cowboy hat is walking through a market and putting a hand in his pocket	Man in cowboy hat is walking around the market and putting a hand in his pocket
205	4.9	Two dogs are fighting for a frisbee in a lake	Two dogs are fighting for a frisbee in a lake
206	4.9	The little girl is driving the toy car	A wee girl is driving a toy car
207	3.5	A person is cutting chili into pieces	The person is not slicing a garlic clove into pieces
208	5.0	A dog that is furry and black is in the yard and is carrying a basket in its mouth.	A dog that is furry and black is in a backyard and is carrying a basket in its mouth.
209	4.9	A yellow dog is drinking tap water	Tap water is being drunk by a yellow dog
210	5.0	A boy is hanging a fishing rod and running in front of a fish	A boy is hanging a fishing rod and running in front of a fish
211	5.0	A skunk is being held by a person	A person is holding a skunk
212	4.9	One dog, which is black, and another, which is white, are facing each other in the street.	A dog, which is black, and a white are staring at each other in the street.
213	4.5	A man is pouring oil into a sautese	A man is pouring oil into a frying pan.
214	4.9	A man is emptying a container made of plastic	A man is emptying a plastic container
215	3.8	A white cat perched on a tiny wooden closet is looking out the window.	The cat is looking out the window on the perch table
216	4.6	A man is playing the keyboard	A person is playing the keyboard
217	4.6	A cat is eagerly eating corn on the cob	A cat is eating corn on the cob
218	4.7	A woman is cooking an egg in a sautese	A woman is preparing an egg in a sautese
219	4.0	It&#39;s snowing on two dogs playing	Two dogs are playing in the snow
220	4.9	A basketball player is on the court floor and the ball is being grabbed by another.	One basketball player is on the court floor and another is catching the ball
221	3.6	A group of boy scouts are walking through the grass	People are walking
222	4.2	A man is dancing on the road.	A man is dancing
223	4.8	A man is tying a shoe	A man is tying the shoe
224	4.9	An onion is being sliced by a woman	A woman is slicing an onion
225	4.1	Someone is slicing a tomato	The person is slicing a vegetable
226	4.6	A man is chopping a tree with an ax	A person is felling a tree with an ax.
227	5.0	A river is being crossed by a dog on a bridge made of a fallen tree.	A dog is crossing a river on a bridge made of a fallen tree.
228	5.0	A woman is playing an electric guitar	A woman is playing an electric guitar
229	4.7	Two dogs are kidding in the snow	Two dogs are playing in the snow
230	4.0	A man is cutting pieces of butter into a mixing bowl.	Chunks of butter are being added to the mixer
231	4.6	Two dogs run fast through the park	Two dogs are running through the park
232	4.9	American football player is wearing a red and white sash	An american football player is wearing red and white sash
233	4.5	A man is running down the road	A man is running
234	5.0	A cat is playing with a device	The cat is playing with a device
235	4.8	A boss is cleaning a soup bowl	A bowl of soup is being cleaned by a chef.
236	4.8	A woman is chopping garlic	Garlic is being diced by a woman
237	4.9	A man is massaging a woman	A woman is being massaged by a man
238	3.9	A man in a red jacket is standing near a yellow kayak on some rocks near the ocean.	A man is wearing a red jacket and standing next to a red canoe on some rocks with water in the background.
239	4.8	Some cats are playing with each other.	The cats are playing with each other
240	4.8	Some red and white soccer players are jumping and hugging	Red and white soccer players are jumping and hugging
241	4.7	A blonde girl is riding waves	A blonde girl is surfing
242	5.0	Two people are standing in the ocean and watching the sunset	Two people are standing in the ocean and watching the sunset
243	4.3	A woman is wearing an Egyptian cap	A woman is wearing an Egyptian hat on her head.
244	4.2	A child is singing and playing a guitar	A child is playing the guitar
245	4.7	A woman is playing a guitar	A guitar is being played by a woman
246	4.3	A person is performing stunts on a motorcycle	A person is performing tricks on a motorcycle
247	4.9	Some paper is being cut	The paper is being cut with scissors
248	4.8	The man is carefully feeding a snake with a mouse	The man is carefully feeding the snake with a mouse
249	3.9	The presentation is being attended by a class of students.	A classroom is full of students
250	4.8	People are clustered around a campfire at night	Several people are gathered around the fire at night
251	4.3	A group of people are sitting relaxed on either side of a red stone monument.	A group of people are sitting on either side of a red stone structure.
252	4.9	The man is playing an acoustic guitar	The man is playing an acoustic guitar
253	4.6	A panda is eating a piece of bamboo.	The panda is eating bamboo
254	4.5	Two dogs are playing happily in the grass	Two dogs are playing together in the grass
255	4.4	A woman is cutting a white onion	A woman is cutting an onion
256	4.5	A chef is cooking a meal	A chef is preparing a meal
257	4.9	a man is playing the flute	A man is playing a flute
258	4.3	A man and woman are driving down the street in a jeep.	A man and a woman are driving down the road in a car
259	5.0	The grass is being cut by a man	A man is mowing grass
260	4.3	Two kids are playing in a statue	Some kids are playing on a statue.
261	4.4	A brown dog and a black dog are playing in the sand	A black dog is playing with a brown dog in the sand
262	4.8	A man is playing a flute	The man is playing the flute
263	4.7	A white dog and a black dog are running happily side by side in the grass.	A white dog and a black dog are running side by side on the green grass.
264	4.7	Two dogs are playing in the snow	Two dogs are kidding in the snow
265	4.8	The food is being fried by a woman	A woman is frying some food
266	5.0	Man and child are kayaking across calm waters	A man and a child are kayaking through the calm waters
267	4.7	Someone is feeding an animal	Someone is feeding an animal
268	4.8	Two brown and white dogs are fighting in a grassy area in front of a tree	Two brown and white dogs are fighting in a grassy area in front of a plant
269	4.8	A girl is playing a guitar	A guitar is being played by a girl
270	4.8	An email is being read by a man	A man is reading an email
271	4.8	A man is removing the skin of an onion	A man is peeling an onion
272	4.2	A dog is running up a grassy hill	A dog is running uphill
273	4.4	Kids in swimsuits are playing in the pool	Swimwear kids are playing in the water
274	4.8	A brown dog is staring intently at a brown and white dog	A brown dog is looking closely at a brown and white dog
275	4.9	A man in a purple-dyed hat is operating a camera that makes videos.	The man in the purple hat is operating a camera that makes videos
276	4.5	The man is eating a banana near a tree.	A man is eating a banana.
277	4.7	A brown dog is carrying a colorful toy in the grass	A colorful toy is being carried by a brown dog in the grass.
278	4.7	A man is hurriedly getting into a car in a garage.	A man is getting into a car in a garage
279	5.0	A bike is being pedaled by one person	A person is riding a bicycle
280	4.9	People in a drag race are looking at the flames coming out of the cars.	Some people in a drag race are looking at the flames coming out of the cars.
281	4.7	A black shirt is being worn by a man who is sitting at the table and laughing	A man wearing a dyed black shirt is sitting at the table and laughing
282	4.7	A man with a hard hat is dancing	A man is wearing a protective helmet and dancing.
283	4.6	A boy is jumping out of the side of a stone water fountain in front of a building	A boy is jumping out of the side of a stone water fountain in front of a building.
284	4.4	People are sitting at square tables in a red room.	People are sitting at the table in a red room.
285	4.3	A brown and white dog is playing on the lawn.	A dog is playing in the green grass
286	4.6	The person on the motorcycle is raising his arm	A person on the motorcycle is raising an arm
287	4.8	The girl is wearing a white shirt and a pink skirt, and is standing in front of a house	The girl is wearing a white shirt with a pink skirt and is standing in front of a house
288	4.7	A woman is cutting butter	A woman is slicing butter
289	4.5	A man is drinking orange juice and walking.	A person is drinking orange juice and walking
290	4.8	The man is riding a bull who is mechanical	A man is riding a mechanical bull.
291	4.9	The boys are chasing each other in the sand	The boys are chasing each other in the sand
292	4.9	An onion is being sliced by a man	A man is slicing an onion
293	4.8	A man is doing exercises.	A man is exercising
294	4.8	A person wearing cycling clothes is standing firmly in front of the mountains.	A person with cycling gear is standing facing some mountains
295	4.4	A man in a red uniform is quickly jumping on a mountain bike race.	A man in a red uniform is jumping on a mountain bike race
296	4.2	Two little boys are wearing tuxedos	Two little children are wearing tuxedos
297	4.8	A man is standing near a large and colorful bird cage.	A man is standing next to a bird cage that is large and colorful.
298	4.3	The man is doing floor exercises	A man is doing exercises.
299	4.8	An interview is being granted by the man.	The man is giving an interview
300	4.5	The dog is biting a few drops of water	The dog is snapping a few drops of water
301	4.9	A dark black dog and a light brown dog are playing in the yard.	A dark black dog and a light brown dog are playing in the yard.
302	4.9	A veteran is showing different things from a war to some people.	Different things from a war are being shown to some people by a veteran.
303	4.9	A woman is peeling the potato	A woman is peeling a potato
304	4.8	The man is talking on the phone	The man is talking on the phone
305	4.5	A baby rhino is following an adult rhino	A small rhino is following an adult rhino
306	4.1	A woman is driving a car and is talking animatedly to the man who is sitting next to her	The woman and the man are traveling by car
307	4.9	Two little children are playing with a toy car on the street.	Two little kids are playing with a toy car on the street.
308	5.0	A man is mowing grass	The grass is being cut by a man
309	4.4	A white dog is wearing a Christmas reindeer tiara and is playing with a brown dog in the grass.	The white dog wearing reindeer ears is near a brown dog
310	4.4	A motorcyclist in a blue jacket, black pants and a white helmet is driving recklessly on the ground and people watch	A biker with a blue jacket, black pants and a white helmet is driving on the ground and people are watching
311	4.9	Someone is jumping in the air on a board	Someone is jumping in the air on a board
312	4.9	A yellow shirt hockey player is protecting the goal	The goal is being saved by a yellow team hockey player
313	4.6	A squirrel is running in circles.	The squirrel is running in circles.
314	3.9	The man is emerging from a swamp	A man is coming out of the water
315	5.0	A woman is slicing carrots	Carrots are being cut by a woman
316	4.6	People are walking down a busy street.	People are walking by a crowd in the street.
317	4.7	Two boys are wearing brown shirts and are pulling a rope enthusiastically on a wooden platform.	Two boys are wearing brown shirts and are pulling a rope on a wooden platform.
318	5.0	The man is drawing	A man is drawing
319	4.5	A woman is riding a horse	A woman is riding an animal
320	4.8	A woman is frying some food	The food is being fried by a woman
321	4.5	A young woman is getting a tattoo on her hand	A girl is tattooing her hand
322	4.3	The blonde girl in the pink blouse is smiling and wearing funny glasses with a big nose attached	The small girl is smiling and wearing a fake nose and glasses
323	4.5	A man is cutting a thick rope with a sword.	A man is cutting a cord with a sword.
324	4.4	Eggs are being cracked in a bowl by the woman	The lady is breaking raw eggs in the bowl
325	4.8	An onion is being sliced with a knife by the woman	The woman is slicing an onion with a knife
326	4.4	The brown dog is jumping in the air	A dog is jumping in the air
327	4.6	A man is dancing in the rain.	A person is dancing in the rain.
328	4.7	Two large dogs, one light in color and the other dark in color, are rapidly moving across the snowy terrain.	Two large dogs, one light and one dark, are running across the snowy terrain.
329	3.6	People are walking outside the building that has several murals	Several people stand in front of a colorful building
330	5.0	A young child dressed in cold weather is standing outside	A young child dressed for the cold weather is standing outside
331	4.385	The boy is fast riding the tricycle	The boy is riding on a tricycle
332	4.9	The man is cutting a paper plate	A paper plate is being cut by a man
333	4.6	The man is pouring sliced cucumbers into cold water	The man is pouring sliced cucumbers into the water
334	3.7	A group of Asian girls are standing alone.	A group of Asian girls are standing together.
335	4.6	A boy is playing a keyboard	A boy is practicing keyboard
336	4.7	A lemur is biting a person&#39;s finger	An animal is biting someone&#39;s finger
337	4.2	A young boy is playing a wind instrument	A child is playing an instrument
338	4.5	A white dog is wearing a Christmas reindeer tiara and is playing with a brown-haired dog in the grass.	A white dog is wearing a Christmas reindeer tiara and is playing with a brown dog in the grass.
339	4.6	A man is lifting bars	The man is lifting weights
340	4.8	The man is talking on the phone.	The man is talking on the phone
341	4.4	The men are acting on a stage.	The men are performing on stage.
342	4.8	A boat is sailing quietly on the water.	A boat is calmly sailing on the water.
343	4.9	A man is cutting an onion	An onion is being cut by a man
344	4.8	A young girl in winter coat is jumping from a rock to the sand on the beach.	A young girl in a jacket made for winter is jumping from a rock to the sand on the beach.
345	4.9	Kids in red shirts are playing in the leaves	Children in red shirts are playing in the leaves
346	4.6	The piece of paper is being cut	Some paper is being cut
347	4.5	A girl is playing the piano	A girl is practicing the piano
348	4.9	A man is petting two dogs	Two dogs are being petted by a man
349	4.4	A squirrel is running in circles.	A squirrel is running in circles.
350	4.1	Two bricklayers are sitting beside a palace	Two bricklayers are sitting next to a building
351	4.0	A young man on a bmx bike is jumping from a pyramid	A cyclist is jumping on a pyramid-shaped ramp
352	4.4	A bride in a white dress is running	A girl in a white dress is running
353	4.9	A black skier is getting some air	A skier dressed in black is taking a little breath
354	4.8	The flute is being played by a woman	A woman is playing the flute
355	4.6	A cheetah is running fast after its prey	The cheetah is running fast after its prey
356	4.9	A man is standing at dusk on an almost untouched snowy road that is lit only by headlights.	A man is standing at dusk on an almost untouched snow-covered road that is lit only by headlights.
357	4.4	A man is slicing potatoes	The man is slicing the potato
358	4.8	A set of four brown dogs are playing in a brown grass field.	A group of four brown dogs are playing in a brown grass field
359	4.1	A man is riding a horse on a sandy ground.	A guy is riding a horse
360	4.4	A baby is talking	A child is talking
361	4.3	The white dog is running along the snowy trail	A dog is running on a snowy path.
362	4.8	A man is reading an email	An email is being read by a man
363	4.9	A woman is slicing a green pepper	The pepper is being sliced by a woman with a knife
364	4.9	The man is catching a fish	A man is catching a fish
365	4.8	The group of men are playing rugby on a muddy hill.	The mound of men is playing rugby in a muddy field
366	4.6	The fish is being fried by a woman	A woman is cooking fish
367	4.8	A woman is cooking a pork chop that is breaded	A woman is cooking empanada pork chop
368	5.0	A woman is peeling a potato	A potato is being peeled by a woman
369	4.8	A large dog is walking outside and holding a colorful toy in its mouth.	The big dog is walking outside and is carrying a colorful toy in its mouth
370	4.4	The boy on the grass is lying down and is holding the soccer ball between his feet	The soccer ball is between the feet of a boy who is lying on the grass
371	4.9	A harp is being played by a man	A man is playing a harp
372	2.9	Two people are standing on a motorcycle	Two people are riding a bike
373	4.3	A magic trick is being performed by the magician	The man is doing a magic trick
374	4.3	A child in a red suit is jumping dangerously on a trampoline	A child in red clothes is jumping on a trampoline
